Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-04-01,0.006310959,0.006310959,0.0089096418,0.0070685572,0.0045397528,0.0077646477,0.0081852525,0.0002814872,-0.0009860146,-0.0016737524,-0.0013422295
2016-04-04,-0.0032134798,-0.0032134798,0.0081239706,1.00564211607E-05,-0.0005022658,0.0010882169,-0.0006906014,-0.0003099042,0.0001352523,-0.0054326896,-0.0050756074
2016-04-05,-0.0101962985,0.01,-0.003822393,-0.0018302738,-0.0005022658,0.0003495123,-0.0006906013,-0.0003099041,-0.000409483,-0.0006735362,0.0001366436
2016-04-06,0.0104527979,0.0104527979,0.004784761,0.0059910296,0.0077345949,0.009460534,0.0070860912,0.0120152375,0.0087271817,0.0114043709,0.0127808694
2016-04-07,-0.012048074,0.01,-0.0035666516,-0.0010840115,-0.0005022658,-0.0063026529,-0.0006906013,-0.0003099042,0.001396131,-0.0002352186,-0.0022406364
2016-04-08,0.0027827029,0.0027827029,0.0061979434,0.0085625732,-0.0005022649,0.0060150027,0.007625516,0.0050064833,0.0043728817,0.0031633433,0.0057815583
2016-04-11,-0.0027435462,-0.0027435462,-0.0020913538,0.0016495483,-0.0005022649,-0.0035602916,-0.0006906013,-0.0003099041,0.0021788795,-0.0059428252,-0.0053037936
2016-04-12,0.0096157541,0.0096157541,0.006774216,0.0130678788,-0.0509108603,0.0039350884,0.0033753812,0.0028782766,0.0101906843,0.0111113368,0.0085521638
2016-04-13,0.0099900697,0.0099900697,0.0013848243,0.0048564803,0.0048983977,0.0065277191,0.0040122285,0.0107412906,0.0119800474,0.0078337807,0.0062124627
2016-04-14,0.0001729122,0.0001729122,-0.0019023959,-0.0034153685,-0.0005022658,-0.0025255103,-0.0006906014,-0.0003099042,-0.0009860159,-0.0026824884,-0.0011512497
2016-04-15,-0.0009847697,-0.0009847697,0.003872182,0.0070987185,0.0007697212,0.0042975293,0.002478509,-0.0003099063,0.0038622394,-0.0005005766,-0.0026565678
2016-04-18,0.0065197259,0.0065197259,0.0088910526,0.0074114488,0.0074082669,0.0070851948,0.0053197318,0.0063603823,0.0081365779,0.0121603459,0.0086003244
2016-04-19,0.0030797379,0.0030797379,-0.0002383429,0.0039704768,-0.0004113313,0.0037051551,0.0013544471,0.000925269,0.0090448502,-0.0074483193,-0.0074197436
2016-04-20,0.0007612548,0.0007612548,-0.0006866774,-0.0019451575,-0.000502264,-0.0030201096,-0.0006906013,-0.0003099042,-0.0009860172,-0.0023841113,-0.0037802178
2016-04-21,-0.0052075629,-0.0052075629,0.0102310376,0.0040135877,-0.0005022658,0.0077116517,-0.0006906012,-0.0003099041,-0.0009860172,-0.0092792008,-0.0069909692
2016-04-22,4.78587439003E-05,4.78587439003E-05,0.0041601602,0.0064543011,0.0025693679,0.0057122391,0.0063062944,0.0090424698,0.0101418253,0.0089159431,0.0086927023
2016-04-25,-0.0018136896,-0.0018136896,0.0019627677,-0.0017526951,-0.0005022658,-0.0043093339,-0.0006906013,-0.0003099042,-0.0009860172,-0.0009787958,-0.0043089679
2016-04-26,0.0018710001,0.0018710001,-0.0007323034,0.002002659,0.0001154042,0.0021014661,0.003363695,0.0051442967,0.0061374092,-0.0009930022,0.0025234106
2016-04-27,0.001647994,0.001647994,-0.0017845617,0.0030396916,0.0028038169,-0.00045003,0.000020953,9.69455577433E-05,0.0119800493,0.0044438029,0.0004068455
2016-04-28,-0.0092736357,-0.0092736357,0.0091339108,0.0064009237,-0.0005022658,-0.0025903136,0.0033686915,-0.0003099042,0.0146726016,-0.0114915669,-0.0052687777
2016-04-29,-0.0050759493,-0.0050759493,0.0018953953,0.004573382,-0.0005022649,-0.0038242918,-0.0006906013,-0.0003099042,0.0035176161,-0.0005129017,-0.0054978663
2016-05-02,0.0077796068,0.0077796068,0.0131177483,0.0128720682,0.0064413054,0.0098180566,0.0063838158,0.0065076249,0.0036098235,0.0042669559,0.0054206587
2016-05-03,-0.0087144997,-0.0087144997,-0.0026103046,-5.89056871831E-05,-0.0005022658,-0.0032584984,-0.000688825,-0.0003099042,-0.0009860146,0.0057565104,-0.0050629824
