Date,Adj Close
2015-07-06,52.16
2015-07-07,51.78
2015-07-08,49.59
2015-07-09,50.33
2015-07-10,50.31
2015-07-13,50.42
2015-07-14,50.52
2015-07-15,52.75
2015-07-16,52.13
2015-07-17,52.13
2015-07-20,52.5
2015-07-21,52.19
2015-07-22,52.69
2015-07-23,52.3
2015-07-24,51.52
2015-07-27,51.41
2015-07-28,51.36
2015-07-29,51.36
2015-07-30,51.35
2015-07-31,50.67
2015-08-03,50.48
2015-08-04,48.18
2015-08-05,48.56
2015-08-06,49.29
2015-08-07,49.29
2015-08-10,49.29
2015-08-11,49.97
2015-08-12,49.11
2015-08-13,49.02
2015-08-14,49.33
2015-08-17,49.12
2015-08-18,48.56
2015-08-19,48.92
2015-08-20,48.73
2015-08-21,48.1
2015-08-24,45.69
2015-08-25,44.59
2015-08-26,43.76
2015-08-27,45.86
2015-08-28,47.73
2015-08-31,46.98
2015-09-01,46.74
2015-09-02,46.5
2015-09-03,47.34
2015-09-04,46.29
2015-09-07,45.83
2015-09-08,46.02
2015-09-09,45.16
2015-09-10,45.82
2015-09-11,44.67
2015-09-14,44.45
2015-09-15,43.47
2015-09-16,44.33
2015-09-17,44.72
2015-09-18,44.22
2015-09-21,44.22
2015-09-22,44.78
2015-09-23,44.53
2015-09-24,44.53
2015-09-25,45.4
2015-09-28,44.69
2015-09-29,44.22
2015-09-30,44.45
2015-10-01,44.23
2015-10-02,44.15
2015-10-05,44.5
2015-10-06,46.47
2015-10-07,47.84
2015-10-08,47.65
2015-10-09,48.78
2015-10-12,48.31
2015-10-13,48.68
2015-10-14,49.01
2015-10-15,50.52
2015-10-16,50.8
2015-10-19,50.27
2015-10-20,49.86
2015-10-21,50.35
2015-10-22,49.87
2015-10-23,50.11
2015-10-26,50.8
2015-10-27,50.37
2015-10-28,50.9
2015-10-29,49.9
2015-10-30,51.36
2015-11-02,50.0
2015-11-03,49.87
2015-11-04,51.75
2015-11-05,50.26
2015-11-06,50.77
2015-11-09,50.59
2015-11-10,50.59
2015-11-11,49.79
2015-11-12,48.46
2015-11-13,47.18
2015-11-16,47.51
2015-11-17,48.68
2015-11-18,48.1
2015-11-19,48.01
2015-11-20,47.63
2015-11-23,47.9
2015-11-24,47.89
2015-11-25,46.96
2015-11-26,46.35
2015-11-27,46.52
2015-11-30,46.94
2015-12-01,47.23
2015-12-02,47.23
2015-12-03,46.89
2015-12-04,46.79
2015-12-07,47.41
2015-12-08,46.66
2015-12-09,46.47
2015-12-10,45.73
2015-12-11,44.38
2015-12-14,43.65
2015-12-15,43.29
2015-12-16,44.1
2015-12-17,43.3
2015-12-18,44.59
2015-12-21,44.86
2015-12-22,45.16
2015-12-23,45.09
2015-12-24,44.67
2015-12-25,44.67
2015-12-28,44.86
2015-12-29,45.06
2015-12-30,46.3
2015-12-31,45.84
2016-01-01,45.84
2016-01-04,45.84
2016-01-05,46.13
