Date,^STI,0,5,10
2016-12-14,-0.0003959599,-0.0001715291,0.0015776884,-0.0019100867
2016-12-15,-0.0079153214,-0.0100054685,-0.011003213,-0.0091051739
2016-12-16,0.0024162676,0.0028982945,0.0019316897,0.0010084994
2016-12-19,-0.0084704941,-0.0101618059,-0.0086381324,-0.0102828555
2016-12-20,-0.0006077955,-0.0005958695,-0.0004548505,-0.0009738952
2016-12-21,-0.0033064167,-0.0028996561,-0.0033031087,-0.0034255404
2016-12-22,-0.006798365,-0.0070239939,-0.0073608793,-0.0071825236
2016-12-23,-0.0038205567,-0.0031440835,-0.0030493978,-0.0042781997
2016-12-27,0.0051104667,0.0064199585,0.0062267371,0.0044209771
2016-12-28,0.0043360748,0.0024906099,0.0033652857,0.0048171096
2016-12-29,-0.0031620678,-0.0023065601,-0.0021644514,-0.0040375814
2016-12-30,-0.0029081556,-0.0024950635,-0.0019261558,-0.0038819481
