Date,^GSPC,^^GSPC,0,10,20,30,40
2016-06-03,-0.0029160623,-0.0029160623,-7.76592642069E-05,-0.0010992233,-0.00033959,-0.0011902135,0.0017345408
2016-06-06,0.0048853284,0.0048853284,9.6520408988E-05,0.0045470744,0.0039614141,0.0037832605,0.0036066864
2016-06-07,0.0012886158,0.0012886158,0.0006236867,-0.0027733184,-0.0040725474,-0.0014289394,-0.000604454
2016-06-08,0.0033041018,0.0033041018,0.0012645954,-0.0011280496,-0.0003872216,0.0012622634,0.0026293099
2016-06-09,-0.0017192357,-0.0017192357,-0.0001475271,-0.0046639312,-0.0052827559,-0.005076794,-0.0020644823
2016-06-10,-0.0092175324,-0.0092175324,-0.0050685517,-0.0065770373,-0.0058474937,-0.0052058995,-0.0062918426
2016-06-13,-0.0081482984,-0.0081482984,-0.0048725884,-0.0047312416,-0.0058474941,-0.0051977281,-0.005974994
2016-06-14,-0.0018005054,-0.0018005054,-0.0005345619,-0.000212092,0.0002051955,-0.0009853356,0.0016883304
2016-06-15,-0.0018424089,-0.0018424089,-0.0011029812,0.0014809836,0.0005208398,-0.0036366712,0.0011063917
2016-06-16,0.003128093,0.003128093,0.0087115671,0.0037187301,0.003643332,0.0001089815,0.0023329388
2016-06-17,-0.0032632839,-0.0032632839,-0.0060728979,-0.0048094448,-0.0045850147,-0.0028892942,-0.0026130481
2016-06-20,0.0057913826,0.0057913826,0.0049921004,0.0037122592,0.0027838117,0.0049314378,0.0068714656
2016-06-21,0.0027083904,0.0027083904,0.0044903802,0.0030927621,0.0011212602,0.0004338333,0.0024542352
2016-06-22,-0.0016529289,-0.0016529289,0.0008143685,-0.0014054161,0.0010986105,-8.30944627523E-05,0.0002585934
2016-06-23,0.013275567,0.013275567,0.0106445523,0.0151651064,0.0146052456,0.0155901974,0.014220316
2016-06-24,-0.0365807927,0.02,-0.0060728947,-0.0072239526,-0.0058474946,-0.0082091633,-0.0062918402
2016-06-27,-0.0182622465,-0.0182622465,-0.0060728965,-0.0065770373,-0.0058474941,-0.0106417108,-0.0062918426
2016-06-28,0.0176141217,0.0176141217,0.017199818,0.0213105138,0.0209157765,0.0155901965,0.0219472833
2016-06-29,0.0168892431,0.0168892431,0.0136978189,0.0140030105,0.0157361552,0.0151714478,0.0158270225
2016-06-30,0.0134738627,0.0134738627,0.0208332725,0.0165509973,0.0168015249,0.0155901974,0.0144594796
2016-07-01,0.0019467064,0.0019467064,-0.0025420173,-0.0011737756,-0.0058474941,-0.0001836568,0.0012538927
2016-07-05,-0.0068710288,-0.0068710288,0.0012367833,-0.005584579,-0.0036970172,-0.0041316729,-0.0058327527
2016-07-06,0.0053386868,0.0053386868,-0.0020147627,0.0003527738,0.001345756,-0.0024834424,0.0014013834
2016-07-07,-0.0008719578,-0.0008719578,-0.000941175,-0.0043734536,-0.0058474941,-0.0008776132,0.0012597861
2016-07-08,0.0151381866,0.0151381866,0.0085522765,0.0105773406,0.0116563374,0.011999297,0.0133074615
2016-07-11,0.0034028194,0.0034028194,0.0011363593,0.0022956468,0.0020041112,9.97968018055E-05,0.0033427812
2016-07-12,0.0069848426,0.0069848426,-0.0024340465,0.0052708276,0.0037572933,0.007541283,0.0070545375
2016-07-13,0.0001347586,0.0001347586,0.0017645201,-0.0007812064,-4.30513173342E-05,-0.0022740327,0.0001840447
2016-07-14,0.0052454226,0.0052454226,-0.0009240685,-0.0004770886,0.0011902382,0.0023585064,0.0028692028
2016-07-15,-0.0009293792,-0.0009293792,-0.0036779295,-0.002482444,-0.0012398404,-0.001573462,-0.0007623341
2016-07-18,0.0023794621,0.0023794621,-0.0024883791,-0.0017758645,0.0007084366,0.0005633235,0.0008230582
2016-07-19,-0.0014362048,-0.0014362048,0.0013005231,-0.0042857397,-0.0012081848,-0.0036558248,-0.0053051598
2016-07-20,0.0042612087,0.0042612087,-0.0011378564,0.0020337924,0.0030924603,0.0045693526,0.004494885
2016-07-21,-0.00361907,-0.00361907,-0.005462735,-0.0029222723,-0.0006440324,-0.0070739072,0.0011844193
